,Package Name,Access,Summary,Updated
4109,dlib,public,toolkit for making real world machine learning and data analysis applications,2025-06-02
4110,dlib-gpu,public,toolkit for making real world machine learning and data analysis applications,2025-06-02
4111,pypac,public,Proxy auto-config and auto-discovery for Python.,2025-06-01
4112,broh5,public,Browser-based GUI HDF Viewer in Python,2025-06-01
4113,django-allauth,public,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication",2025-06-01
4114,r-terra,public,"Methods for spatial data analysis with raster and vector data. Raster methods allow for low-level data manipulation as well as high-level global, local, zonal, and focal computation. The predict and interpolate methods facilitate the use of regression type (interpolation, machine learning) models for spatial prediction, including with satellite remote sensing data. Processing of very large files is supported. See the manual and tutorials on <https://rspatial.org/terra/> to get started. 'terra' is very similar to the 'raster' package; but 'terra' can do more, is simpler to use, and it is faster.",2025-06-01
4115,python-sounddevice,public,Play and Record Sound with Python,2025-06-01
4116,pygubu,public,A simple GUI builder for the python tkinter module,2025-06-01
4117,nidaqmx-python,public,Python API for interacting with NI-DAQmx,2025-06-01
4118,ecl,public,ECL (Embeddable Common-Lisp) is an interpreter of the Common-Lisp language.,2025-06-01
4119,seareport-data,public,Data retrieval for seareport,2025-06-01
4120,pytask-latex,public,Compile LaTeX documents with pytask.,2025-06-01
4121,pycbf,public,"A Python API for reading CBF/imgCIF Crystallographic Binary Files, from Paul J Ellis and Herbert J Bernstein.",2025-06-01
4122,setuptools,public,"Download, build, install, upgrade, and uninstall Python packages",2025-06-01
4123,multipers,public,Multiparameter Topological Persistence for Machine Learning,2025-06-01
4124,rxnmapper,public,Reaction atom-mapping from transformers,2025-06-01
4125,dot-language-server,public,A language server for the DOT language,2025-06-01
4126,pikepdf,public,"A Python library for reading and writing PDF, powered by qpdf",2025-06-01
4127,portend,public,TCP port monitoring utilities,2025-06-01
4128,pyturbojpeg,public,A Python wrapper of libjpeg-turbo for decoding and encoding JPEG image.,2025-06-01
4129,inflate64,public,deflate64 compression/decompression library,2025-06-01
4130,pycgns,public,pyCGNS provide a python interface to CGNS/SIDS datamodel for CGNS end-users and python application developpers,2025-06-01
4131,pycgns-core,public,pyCGNS provide a python interface to CGNS/SIDS datamodel for CGNS end-users and python application developpers,2025-06-01
4132,rloop,public,An asyncio event loop implemented in Rust,2025-06-01
4133,fancycompleter,public,colorful Python TAB completion,2025-06-01
4134,kwant,public,Package for numerical quantum transport calculations.,2025-06-01
4135,svg2tikz,public,Tools for converting SVG graphics to TikZ/PGF code,2025-06-01
4136,r-partykit,public,"A toolkit with infrastructure for representing, summarizing, and visualizing tree-structured regression and classification models. This unified infrastructure can be used for reading/coercing tree models from different sources ('rpart', 'RWeka', 'PMML') yielding objects that share functionality for print()/plot()/predict() methods. Furthermore, new and improved reimplementations of conditional inference trees (ctree()) and model-based recursive partitioning (mob()) from the 'party' package are provided based on the new infrastructure. A description of this package was published by Hothorn and Zeileis (2015) <http://jmlr.org/papers/v16/hothorn15a.html>.",2025-06-01
4137,pydmd,public,Python Dynamic Mode Decomposition.,2025-06-01
4138,reuse,public,reuse is a tool for compliance with the REUSE recommendations.,2025-06-01
4139,r-laminr,public,R client for LaminDB,2025-06-01
4140,blaupause,public,A sample Python-based package that can be used as a tutorial for setting up a project.,2025-06-01
4141,r-party,public,"A computational toolbox for recursive partitioning. The core of the package is ctree(), an implementation of conditional inference trees which embed tree-structured regression models into a well defined theory of conditional inference procedures. This non-parametric class of regression trees is applicable to all kinds of regression problems, including nominal, ordinal, numeric, censored as well as multivariate response variables and arbitrary measurement scales of the covariates. Based on conditional inference trees, cforest() provides an implementation of Breiman's random forests. The function mob() implements an algorithm for recursive partitioning based on parametric models (e.g. linear models, GLMs or survival regression) employing parameter instability tests for split selection. Extensible functionality for visualizing tree-structured regression models is available. The methods are described in Hothorn et al. (2006) <doi:10.1198/106186006X133933>, Zeileis et al. (2008) <doi:10.1198/106186008X319331> and Strobl et al. (2007) <doi:10.1186/1471-2105-8-25>.",2025-06-01
4142,gotranx,public,A declarative language describing ordinary differential equations,2025-06-01
4143,mdx-language-server,public,Language server for MDX,2025-06-01
4144,libflang,public,Flang is a Fortran compiler targeting LLVM.,2025-06-01
4145,petsc,public,"PETSc: Portable, Extensible Toolkit for Scientific Computation",2025-06-01
4146,xlens,public,Graviational Lensing from Image Pixels,2025-06-01
4147,pgadmin4-python,public,pgAdmin 4 is a rewrite of the popular pgAdmin3 management tool for the PostgreSQL,2025-05-31
4148,scikit-package,public,A Python package standard and generator for scientific code,2025-05-31
4149,ifcopenshell,public,IfcOpenShell is a library to support the IFC file format,2025-05-31
4150,bcf-client,public,IfcOpenShell is a library to support the IFC file format,2025-05-31
4151,warlock,public,Python object model built on JSON schema and JSON patch.,2025-05-31
4152,csvlens,public,A command line csv viewer,2025-05-31
4153,jupyter-scatter,public,"An interactive scatter plot widget for Jupyter Notebook, Lab, and Google Colab that can handle millions of points and supports view linking",2025-05-31
4154,pynguin,public,Pynguin is a tool for automated unit test generation for Python,2025-05-31
4155,liblightgbm,public,LightGBM is a gradient boosting framework that uses tree based learning algorithms.,2025-05-31
4156,lightgbm,public,LightGBM is a gradient boosting framework that uses tree based learning algorithms.,2025-05-31
4157,rerankers,public,A unified API for various document re-ranking models.,2025-05-31
4158,envelope,public,Insert a message and attachments and send e-mail / sign / encrypt contents by a single line.,2025-05-31
4159,pyaml,public,PyYAML-based module to produce pretty and readable YAML-serialized data,2025-05-31
4160,llama-index-question-gen-openai,public,llama-index question_gen openai integration,2025-05-31
4161,py-avataaars,public,Python Avatar generator library,2025-05-31
4162,pyreports,public,pyreports is a python library that allows you to create complex report from various sources,2025-05-31
4163,r-flextable,public,"Use a grammar for creating and customizing pretty tables. The following formats are supported: 'HTML', 'PDF', 'RTF', 'Microsoft Word', 'Microsoft PowerPoint' and R 'Grid Graphics'. 'R Markdown', 'Quarto' and the package 'officer' can be used to produce the result files. The syntax is the same for the user regardless of the type of output to be produced. A set of functions allows the creation, definition of cell arrangement, addition of headers or footers, formatting and definition of cell content with text and or images. The package also offers a set of high-level functions that allow tabular reporting of statistical models and the creation of complex cross tabulations.",2025-05-31
4164,openinference-instrumentation-haystack,public,OpenInference Haystack Instrumentation,2025-05-31
4165,llama-index-program-openai,public,llama-index program openai integration,2025-05-31
4166,llama-index-multi-modal-llms-openai,public,llama-index multi-modal-llms openai integration,2025-05-31
4167,ffmpeg,public,"Cross-platform solution to record, convert and stream audio and video.",2025-05-31
4168,cappa,public,Declarative CLI argument parser.,2025-05-31
4169,openmpi-mpicxx,public,An open source Message Passing Interface implementation.,2025-05-31
4170,openmpi,public,An open source Message Passing Interface implementation.,2025-05-31
4171,openmpi-mpifort,public,An open source Message Passing Interface implementation.,2025-05-31
4172,openmpi-mpicc,public,An open source Message Passing Interface implementation.,2025-05-31
4173,kedro-init,public,A simple CLI command that initialises a Kedro project from an existing Python package,2025-05-31
4174,colormap,public,"Utilities to ease manipulation of matplotlib colormaps and color codecs (e.g., hex2rgb)",2025-05-31
4175,flash-attn-layer-norm,public,Flash Attention: Fast and Memory-Efficient Exact Attention,2025-05-31
4176,flash-attn,public,Flash Attention: Fast and Memory-Efficient Exact Attention,2025-05-31
4177,flash-attn-fused-dense,public,Flash Attention: Fast and Memory-Efficient Exact Attention,2025-05-31
4178,pygetimportables,public,Python functions to get top-level importable names,2025-05-31
4179,jupyter-marimo-proxy,public,Jupyter extension to proxy Marimo,2025-05-31
4180,praw,public,Python Reddit API Wrapper allows for simple access to Reddit's API,2025-05-31
4181,libglu,public,Mesa OpenGL utility library (GLU),2025-05-31
4182,pysages,public,Python Suite for Advanced General Ensemble Simulations,2025-05-31
4183,asdf,public,Python implementation of the ASDF Standard,2025-05-31
4184,cufinufft,public,"Non-uniform fast Fourier transform library of types 1,2,3 in dimensions 1,2,3",2025-05-31
4185,finufft,public,"Non-uniform fast Fourier transform library of types 1,2,3 in dimensions 1,2,3",2025-05-31
4186,jax,public,"Differentiate, compile, and transform Numpy code",2025-05-31
4187,larch,public,Discrete Choice Modeling in Python,2025-05-31
4188,prawcore,public,Low-level communication layer for PRAW 4+,2025-05-31
4189,cp2kdata,public,A Small Package to Postprocess Cp2k Output,2025-05-31
4190,pyrate-limiter,public,Python rate limiter using Leaky-Bucket Algorithm Family,2025-05-31
4191,spyder-vim,public,A plugin to enable Vim keybindings in the Spyder IDE's editor,2025-05-31
4192,glow-md,public,Render markdown on the CLI,2025-05-31
4193,r-ggh4x,public,"A 'ggplot2' extension that does a variety of little helpful things. The package extends 'ggplot2' facets through customisation, by setting individual scales per panel, resizing panels and providing nested facets. Also allows multiple colour and fill scales per plot. Also hosts a smaller collection of stats, geoms and axis guides.",2025-05-31
4194,r-gutenbergr,public,"Download and process public domain works in the Project Gutenberg collection <http://www.gutenberg.org/>. Includes metadata for all Project Gutenberg works, so that they can be searched and retrieved.",2025-05-31
4195,brainglobe-segmentation,public,Manual segmentation of 3D brain structures in a common anatomical space,2025-05-31
4196,ruby,public,"A dynamic, open source programming language with a focus on simplicity and productivity.",2025-05-31
4197,pyremo,public,processing tools for the regional climate model REMO,2025-05-31
4198,jaxlib,public,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",2025-05-31
4199,csvtk,public,"A cross-platform, efficient and practical CSV/TSV toolkit in Golang",2025-05-31
4200,tiffslide,public,A drop-in replacement for openslide-python.,2025-05-31
4201,remix,public,"Build Better Websites. Create modern, resilient user experiences with web fundamentals.",2025-05-31
4202,sisl,public,Toolbox for electronic structure calculations and large scale transport,2025-05-31
4203,rsl-rl-lib,public,Fast and simple RL algorithms implemented in PyTorch,2025-05-31
4204,pytorchrl,public,"A modular, primitive-first, python-first PyTorch library for Reinforcement Learning.",2025-05-31
4205,cccl,public,CUDA Core Compute Libraries,2025-05-31
4206,sphinx-lint,public,Check for stylistic and formal issues in .rst and .py files included in the documentation.,2025-05-31
4207,r-dirichletreg,public,Implements Dirichlet regression models in R.,2025-05-31
4208,docrepr,public,Generate rich representations for docstrings,2025-05-31
4209,r-officer,public,"Access and manipulate 'Microsoft Word' and 'Microsoft PowerPoint' documents from R. The package focuses on tabular and graphical reporting from R; it also provides two functions that let users get document content into data objects. A set of functions lets add and remove images, tables and paragraphs of text in new or existing documents. The package does not require any installation of Microsoft products to be able to write Microsoft files.",2025-05-31
4210,ltbams,public,Python software for scheduling modeling and co-simulation with dynamics.,2025-05-31
4211,r-modelbased,public,"Implements a general interface for model-based estimations for a wide variety of models (see list of supported models using the function 'insight::supported_models()'), used in the computation of marginal means, contrast analysis and predictions.",2025-05-31
4212,openinference-instrumentation-openai,public,OpenInference OpenAI Instrumentation,2025-05-31
4213,ollama-python,public,The official Python client for Ollama.,2025-05-31
4214,olmocr,public,Toolkit for linearizing PDFs for LLM datasets/training,2025-05-31
4215,nomic,public,The official Nomic python client.,2025-05-31
4216,dramatiq,public,Background Processing for Python 3.,2025-05-31
4217,uv-build,public,The uv build backend,2025-05-31
4218,globus-compute-endpoint,public,Globus Compute: High Performance Function Serving for Science,2025-05-31
4219,psij-python,public,This is an implementation of the PSI/J (Portable Submission Interface for Jobs) specification.,2025-05-30
4220,pydgsa,public,Python implementation of distance-based generalized sensitivity analysis (DGSA),2025-05-30
4221,pytorch3d,public,3d Geometry for pytorch,2025-05-30
4222,carterbox-torch-radon,public,Tomography operators for Pytorch,2025-05-30
4223,rhash,public,Great utility for computing hash sums,2025-05-30
4224,magic-wormhole,public,"Get things from one computer to another, safely.",2025-05-30
4225,freetype,public,"A Free, High-Quality, and Portable Font Engine",2025-05-30
4226,libfreetype6,public,The libfreetype runtime library.,2025-05-30
4227,libfreetype,public,The libfreetype runtime library.,2025-05-30
4228,pytest-regressions,public,Easy to use fixtures to write regression tests.,2025-05-30
4229,turborepo,public,"Build system optimized for JavaScript and TypeScript, written in Rust",2025-05-30
4230,cutlass,public,CUDA Templates for Linear Algebra Subroutines,2025-05-30
4231,mcplot,public,"mcplot: plotting class, colormaps and helper functions for plotting.",2025-05-30
4232,r-cansim,public,"Searches for, accesses, and retrieves new-format and old-format Statistics Canada data tables, as well as individual vectors, as tidy data frames. This package deals with encoding issues, allows for bilingual English or French language data retrieval, and bundles convenience functions to make it easier to work with retrieved table data. Optional caching features are provided.",2025-05-30
4233,norse,public,A library for deep learning with spiking neural networks,2025-05-30
4234,pipenv,public,Python Development Workflow for Humans.,2025-05-30
4235,shibuya,public,"A clean, responsive, and customizable Sphinx documentation theme with light/dark mode.",2025-05-30
4236,zfel,public,1D FEL code in Python,2025-05-30
4237,openmmdl,public,Interface to OpenMM for easy setup of molecular dynamic simulations of protein-ligand complexes,2025-05-30
4238,r-rcppplanc,public,"'Rcpp' bindings for 'PLANC', a highly parallel and extensible NMF/NTF (Non-negative Matrix/Tensor Factorization) library. Wraps algorithms described in Kannan et. al (2018) <doi:10.1109/TKDE.2017.2767592> and Eswar et. al (2021) <doi:10.1145/3432185>. Implements algorithms described in Welch et al. (2019) <doi:10.1016/j.cell.2019.05.006>, Gao et al. (2021) <doi:10.1038/s41587-021-00867-x>, and Kriebel & Welch (2022) <doi:10.1038/s41467-022-28431-4>.",2025-05-30
4239,cellfinder,public,Automated 3D cell detection in large microscopy images,2025-05-30
4240,pyplanc,public,"'PLANC', a highly parallel and extensible NMF/NTF (Non-negative Matrix/Tensor Factorization) library. Wraps algorithms described in Kannan et. al (2018) <doi:10.1109/TKDE.2017.2767592> and Eswar et. al (2021) <doi:10.1145/3432185>. Implements algorithms described in Welch et al. (2019) <doi:10.1016/j.cell.2019.05.006>, Gao et al. (2021) <doi:10.1038/s41587-021-00867-x>, and Kriebel & Welch (2022) <doi:10.1038/s41467-022-28431-4>.",2025-05-30
4241,libplanc,public,"'PLANC', a highly parallel and extensible NMF/NTF (Non-negative Matrix/Tensor Factorization) library. Wraps algorithms described in Kannan et. al (2018) <doi:10.1109/TKDE.2017.2767592> and Eswar et. al (2021) <doi:10.1145/3432185>. Implements algorithms described in Welch et al. (2019) <doi:10.1016/j.cell.2019.05.006>, Gao et al. (2021) <doi:10.1038/s41587-021-00867-x>, and Kriebel & Welch (2022) <doi:10.1038/s41467-022-28431-4>.",2025-05-30
4242,bash,public,Bourne Again Shell,2025-05-30
4243,fasttransform,public,Transform is the main building block of data pipelines in fastai. And elsewhere if you want.,2025-05-30
4244,gst-plugins-ugly,public,GStreamer Ugly Plug-ins,2025-05-30
4245,scorecard,public,OpenSSF Scorecard - Security health metrics for Open Source,2025-05-30
4246,sam-2,public,SAM 2: Segment Anything in Images and Videos,2025-05-30
4247,tensordict,public,TensorDict is a pytorch dedicated tensor container.,2025-05-30
4248,silvimetric,public,Point Data Abstraction Library (PDAL) Python Package,2025-05-30
4249,sea-names,public,Determine the sea-name of any arbitrary point or shapely geometry.,2025-05-30
4250,r-drdid,public,Implements the locally efficient doubly robust difference-in-differences (DiD) estimators for the average treatment effect proposed by Sant'Anna and Zhao (2020) <doi:10.1016/j.jeconom.2020.06.003>. The estimator combines inverse probability weighting and outcome regression estimators (also implemented in the package) to form estimators with more attractive statistical properties. Two different estimation methods can be used to estimate the nuisance functions.,2025-05-30
4251,molfeat,public,A python library to featurize molecules.,2025-05-30
4252,brainglobe-napari-io,public,Read and write files from the BrainGlobe neuroanatomy suite,2025-05-30
4253,crowdin-api-client,public,Python client library for Crowdin API v2,2025-05-30
4254,pangeo-notebook,public,pangeo notebook dependencies,2025-05-30
4255,ijson,public,Ijson is an iterative JSON parser with a standard Python iterator interface.,2025-05-30
4256,r-coin,public,"Conditional inference procedures for the general independence problem including two-sample, K-sample (non-parametric ANOVA), correlation, censored, ordered and multivariate problems.",2025-05-30
4257,deno,public,"A simple, modern and secure runtime for JavaScript and TypeScript that uses V8 and is built in Rust",2025-05-30
4258,trame-components,public,Core components for trame widgets,2025-05-30
4259,deid,public,best effort anonymization for dicom images with Python,2025-05-30
4260,sse-starlette,public,SSE plugin for Starlette,2025-05-30
4261,pangeo-dask,public,pangeo dask dependencies,2025-05-30
4262,brainreg,public,Automated 3D brain registration,2025-05-30
4263,brainrender-napari,public,A napari plugin to render BrainGlobe atlases and associated data as layers.,2025-05-30
4264,libnvpl-scalapack0,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4265,libnvpl-scalapack-dev,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4266,r-statnet.common,public,Non-statistical utilities used by the software developed by the Statnet Project. They may also be of use to others.,2025-05-30
4267,torchcodec,public,"TorchCodec is a Python library for decoding videos into PyTorch tensors, on CPU and CUDA GPU.",2025-05-30
4268,torchcodec-tests,public,"TorchCodec is a Python library for decoding videos into PyTorch tensors, on CPU and CUDA GPU.",2025-05-30
4269,azure-cosmos,public,Microsoft Azure Cosmos Python SDK,2025-05-30
4270,libnvpl-tensor0,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4271,libnvpl-tensor-dev,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4272,ckmutil,public,Useful functions for dealing with quark and lepton mixing matrices,2025-05-30
4273,inplace-abn,public,In-Place Activated BatchNorm for Memory-Optimized Training of DNNs,2025-05-30
4274,pandoc,public,The universal markup converter,2025-05-30
4275,mechanicalsoup,public,A Python library for automating interaction with websites,2025-05-30
4276,torchsort,public,"Fast, differentiable sorting and ranking in PyTorch",2025-05-30
4277,hpv-kite,public,HPV-Kite: HPV K-mer Index Tversky Estimator application,2025-05-30
4278,torch-scatter,public,PyTorch Extension Library of Optimized Scatter Operations,2025-05-30
4279,conda-forge-feedstock-check-solvable,public,A mamba-based package to check if a conda-forge feedstock is solvable.,2025-05-30
4280,pytorch_sparse,public,PyTorch Extension Library of Optimized Autograd Sparse Matrix Operations,2025-05-30
4281,r-readmdtable,public,"Efficient reading of raw markdown tables into tibbles. Designed to accept content from strings, files, and URLs with the ability to extract and read multiple tables from markdown for analysis.",2025-05-30
4282,launchdarkly-server-sdk,public,LaunchDarkly SDK for Python,2025-05-30
4283,kaldi,public,Kaldi is a toolkit for speech recognition written in C++.,2025-05-30
4284,release-it,public,Automate versioning and package publishing,2025-05-30
4285,libgz-common6,public,"An audio-visual library supports processing audio and video files, a graphics library can load a variety 3D mesh file formats into a generic in-memory representation, and the core library of Gazebo Common contains functionality that spans Base64 encoding/decoding to thread pools.",2025-05-30
4286,gz-common6,public,"An audio-visual library supports processing audio and video files, a graphics library can load a variety 3D mesh file formats into a generic in-memory representation, and the core library of Gazebo Common contains functionality that spans Base64 encoding/decoding to thread pools.",2025-05-30
4287,torchmd-net,public,State of the art Pytorch Neural Network Potentials (NNPs),2025-05-30
4288,cpp-opentelemetry-sdk,public,The OpenTelemetry C++ Client,2025-05-30
4289,libopentelemetry-cpp-headers,public,The OpenTelemetry C++ Client,2025-05-30
4290,libopentelemetry-cpp,public,The OpenTelemetry C++ Client,2025-05-30
4291,cpp-opentelemetry-api,public,The OpenTelemetry C++ Client,2025-05-30
4292,pycomposefile,public,Structured deserialization of Docker Compose files.,2025-05-30
4293,tiny-cuda-nn,public,Lightning fast C++/CUDA neural network framework,2025-05-30
4294,pytorch_scatter,public,PyTorch Extension Library of Optimized Scatter Operations,2025-05-30
4295,heat,public,A Python framework for data-intensive analytics and machine learning.,2025-05-30
4296,carlsim6,public,"CARLsim is an efficient, easy-to-use, GPU-accelerated library for simulating large-scale spiking neural network (SNN) models with a high degree of biological detail.",2025-05-30
4297,pytorch_spline_conv,public,Implementation of the Spline-Based Convolution Operator of SplineCNN in PyTorch,2025-05-30
4298,theseus-ai,public,A library for differentiable nonlinear optimization.,2025-05-30
4299,gsplat,public,CUDA accelerated rasterization of gaussian splatting,2025-05-30
4300,sinabs-exodus,public,Efficient training and inference on GPU for sinabs spiking neural network simulator.,2025-05-30
4301,nengo,public,Tools for building and simulating large-scale neural models,2025-05-30
4302,nvidia-apex,public,a Pytorch extension with NVIDIA-maintained utilities to streamline mixed precision and distributed training.,2025-05-30
4303,yarr,public,Yet Another Rapid Readout,2025-05-30
4304,torchopt,public,An efficient library for differentiable optimization for PyTorch.,2025-05-30
4305,ogre,public,"OGRE is a scene-oriented, flexible 3D engine written in C++ designed to make it easier and more intuitive for developers to produce games and demos utilising 3D hardware.",2025-05-30
4306,chalice,public,Chalice is a microframework for writing serverless apps in python.,2025-05-30
4307,nerfacc,public,A General NeRF Acceleration Toolbox in PyTorch,2025-05-30
4308,torchvision,public,Image and video datasets and models for torch deep learning,2025-05-30
4309,torchvision-tests,public,Image and video datasets and models for torch deep learning,2025-05-30
4310,propelauth_py,public,A python authentication library,2025-05-30
4311,sphericart,public,Multi-language library for the calculation of spherical harmonics in Cartesian coordinates,2025-05-30
4312,sphericart-torch,public,Multi-language library for the calculation of spherical harmonics in Cartesian coordinates,2025-05-30
4313,git-fame,public,Pretty-print git repository collaborators sorted by contributions,2025-05-30
4314,gempy,public,"Open-source, implicit 3D structural geological modeling in Python for uncertainty analysis",2025-05-30
4315,libnvpl-lapack0,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4316,libnvpl-lapack-dev,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4317,libnvpl-rand0,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4318,libnvpl-rand-dev,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4319,fairseq,public,Facebook AI Research Sequence-to-Sequence Toolkit,2025-05-30
4320,libnvpl-fft-dev,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4321,libnvpl-fft0,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4322,libnvpl-sparse-dev,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4323,libnvpl-sparse0,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4324,torchvision-extra-decoders,public,An extension of TorchVision for decoding AVIF and HEIC images,2025-05-30
4325,libnvpl-blas0,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4326,libnvpl-blas-dev,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-30
4327,pymovements,public,A python package for processing eye movement data,2025-05-30
4328,sdmetrics,public,Metrics for Synthetic Data Generation Projects,2025-05-30
4329,roboticstoolbox-python,public,A Python library for robotic education and research,2025-05-30
4330,emperor,public,Emperor a tool for the analysis and visualization of large microbial ecology datasets,2025-05-30
4331,r-rcppdate,public,"'date' is a C++ header library offering extensive date and time functionality for the C++11, C++14 and C++17 standards written by Howard Hinnant and released under the MIT license. A slightly modified version has been accepted (along with 'tz.h') as part of C++20. This package regroups all header files from the upstream repository by Howard Hinnant so that other R packages can use them in their C++ code. At present, few of the types have explicit 'Rcpp' wrapper though these may be added as needed.",2025-05-30
4332,ember-language-server,public,Language Server Protocol implementation for Ember.js projects,2025-05-30
4333,libnvpl-common-dev,public,The NVIDIA Performance Libraries (NVPL) are a collection of high performance mathematical libraries optimized for the NVIDIA Grace Armv9.0 architecture.,2025-05-29
4334,xarray-ceos-alos2,public,xarray reader for advanced land observing satellite 2 (ALOS2) CEOS files,2025-05-29
4335,radical.analytics,public,RADICAL-Analytics is a library supporting the analysis of data produced by RADICAL-Cybertools.,2025-05-29
4336,r-libcoin,public,Basic infrastructure for linear test statistics and permutation inference in the framework of Strasser and Weber (1999) <http://epub.wu.ac.at/102/>. This package must not be used by end-users. CRAN package 'coin' implements all user interfaces and is ready to be used by anyone.,2025-05-29
4337,qp-prob-full,public,Quantile parametrization for probability distribution functions.,2025-05-29
4338,qp-prob,public,Quantile parametrization for probability distribution functions.,2025-05-29
4339,qp,public,Quantile parametrization for probability distribution functions.,2025-05-29
4340,rbspy,public,Sampling profiler for Ruby,2025-05-29
4341,libnvpl-dev,public,The NVIDIA Performance Libraries (NVPL). For convenience only! Not to be used in host requirements for conda recipes!,2025-05-29
4342,_nvpl_dev_mutex,public,The NVIDIA Performance Libraries (NVPL). For convenience only! Not to be used in host requirements for conda recipes!,2025-05-29
4343,fenicsx-ldrb,public,Laplace-Dirichlet Rule-based algorithm for assigning myocardial fiber orientations,2025-05-29
4344,rosettasciio-base,public,Reading and writing scientific file formats,2025-05-29
4345,rosettasciio,public,Reading and writing scientific file formats,2025-05-29
4346,jupyter-lsp-python,public,A metapackage for jupyter-lsp and python-lsp-server,2025-05-29
4347,jupyter-lsp-latex,public,A metapackage for jupyter-lsp and texlab,2025-05-29
4348,jupyter-lsp,public,Multi-Language Server WebSocket proxy for Jupyter Server,2025-05-29
4349,jupyter-lsp-python-plugins,public,"A metapackage for jupyter-lsp, python-language-server, and all known plugins",2025-05-29
4350,jupyterlab-lsp,public,Language Server Protocol integration for JupyterLab,2025-05-29
4351,jupyter-lsp-r,public,A metapackage jupyter-lsp and r-languageserver,2025-05-29
4352,types-setuptools,public,Typing stubs for setuptools,2025-05-29
4353,sxs,public,A collection of python code used by the SXS collaboration,2025-05-29
4354,scipy-doctest,public,"Configurable, whitespace-insensitive, floating-point-aware doctest helpers.",2025-05-29
4355,pyresample,public,Geospatial image resampling in Python,2025-05-29
4356,gempy-engine,public,A Python package necessary for GemPy.,2025-05-29
4357,google-cloud-bigquery-core,public,BigQuery API client library,2025-05-29
4358,google-cloud-bigquery,public,BigQuery API client library,2025-05-29
4359,auditwheel-emscripten,public,auditwheel-like tool for Pyodide,2025-05-29
4360,rayoptics,public,Tools for image forming optical design and analysis,2025-05-29
4361,dataeval,public,DataEval provides a simple interface to characterize image data and its impact on model performance across classification and object-detection tasks,2025-05-29
4362,r-nplyr,public,"Provides functions for manipulating nested data frames in a list-column using 'dplyr' <https://dplyr.tidyverse.org/> syntax. Rather than unnesting, then manipulating a data frame, 'nplyr' allows users to manipulate each nested data frame directly. 'nplyr' is a wrapper for 'dplyr' functions that provide tools for common data manipulation steps: filtering rows, selecting columns, summarising grouped data, among others.",2025-05-29
4363,pytorch-forecasting,public,Timeseries forecasting with PyTorch,2025-05-29
4364,awesomeversion,public,"One version package to rule them all, One version package to find them, One version package to bring them all, and in the darkness bind them.",2025-05-29
4365,radical.saga,public,RADICAL-SAGA defines a high-level interface for distributed computing infrastructures,2025-05-29
4366,r-tplyr,public,A traceability focused tool created to simplify the data manipulation necessary to create clinical summaries.,2025-05-29
4367,kedro-telemetry,public,Kedro-Telemetry is a plugin that gathers anonymised and aggregated usage analytics to help the Kedro team understand how Kedro is used and prioritise improvements to the product accordingly.,2025-05-29
4368,howardhinnant_date,public,A C++ date and time library,2025-05-29
4369,sharrow,public,A compiler for ActivitySim-style utility specification files,2025-05-29
4370,premai,public,A client library for accessing Prem APIs,2025-05-29
4371,radical.entk,public,RADICAL-EnTK is an ensemble execution system written in Python,2025-05-29
4372,autogluon,public,"AutoML for Image, Text, and Tabular Data",2025-05-29
